id,name,text_path,audio_path,narrator,duration,author,text_url,audio_url,alignment_path,text_download_url,audio_download_url,sample_rate,quality,word_count,num_sentences,audio_size,text_size
9600eefb,chut-phan-linh-dinh,,,"[{'id': '96ec76e2', 'name': 'Quốc Thịnh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/quoc-thinh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}, {'id': '421426d1', 'name': 'Thanh Trúc', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thanh-truc', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}, {'id': '91b83577', 'name': 'Trần Ngọc San', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/tran-ngoc-san', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}]",4.5728,Hồ Biểu Chánh,"['https://thuviensachpdf.com/chut-phan-linh-dinh', 'thuviensach']",https://sachnoiviet.net/sach-noi/chut-phan-linh-dinh,,https://cloud.thuviensachpdf.com/pdf/vi/chut-phan-linh-dinh.pdf,"['https://archive.org/download/chut-phan-1/chut-phan-1.mp3', 'https://archive.org/download/chut-phan-1/chut-phan-2.mp3', 'https://archive.org/download/chut-phan-1/chut-phan-3.mp3', 'https://archive.org/download/chut-phan-1/chut-phan-4.mp3', 'https://archive.org/download/chut-phan-1/chut-phan-5.mp3']",,,,,,
17ae223a,ai-vao-dia-nguc,,,"{'id': '78a1a748', 'name': 'Thanh Cúc', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thanh-cuc', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",3.1058,Nguyên Minh,"['https://thuviensachpdf.com/ai-vao-dia-nguc', 'thuviensach']",https://sachnoiviet.net/sach-noi/ai-vao-dia-nguc,,https://cloud.thuviensachpdf.com/pdf/vi/ai-vao-dia-nguc.pdf,"['https://archive.org/download/ai-vao-1/ai-vao-1.mp3', 'https://archive.org/download/ai-vao-1/ai-vao-2.mp3', 'https://archive.org/download/ai-vao-1/ai-vao-3.mp3']",,,,,,
a8e5a5f9,ganh-hang-hoa,,,"{'id': '62bd2f14', 'name': 'MC Thu Trang', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/mc-thu-trang', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",4.8483,Nhất Linh,"['https://thuviensachpdf.com/ganh-hang-hoa', 'thuviensach']",https://sachnoiviet.net/sach-noi/ganh-hang-hoa,,https://cloud.thuviensachpdf.com/pdf/vi/ganh-hang-hoa.pdf,"['https://archive.org/download/ganh-hang-12/ganh-hang-01.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-02.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-03.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-04.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-05.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-06.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-07.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-08.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-09.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-10.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-11.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-12.mp3', 'https://archive.org/download/ganh-hang-12/ganh-hang-13.mp3']",,,,,,
8e0e28ec,sen-no-chon-tu-tu,,,"{'id': '81c7d688', 'name': 'Hướng Dương', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/huong-duong', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",3.4244,Thích Nữ Giới Hương,"['https://thuviensachpdf.com/sen-no-chon-tu-tu', 'thuviensach']",https://sachnoiviet.net/sach-noi/sen-no-chon-tu-tu,,https://cloud.thuviensachpdf.com/pdf/vi/sen-no-chon-tu-tu.pdf,"['https://archive.org/download/sen-no-7/sen-no-1.mp3', 'https://archive.org/download/sen-no-7/sen-no-2.mp3', 'https://archive.org/download/sen-no-7/sen-no-3.mp3', 'https://archive.org/download/sen-no-7/sen-no-4.mp3', 'https://archive.org/download/sen-no-7/sen-no-5.mp3', 'https://archive.org/download/sen-no-7/sen-no-6.mp3', 'https://archive.org/download/sen-no-7/sen-no-7.mp3']",,,,,,
7685d9c3,10-nghich-ly-cuoc-song,,,"[{'id': '2b4c5c3b', 'name': 'Ái Hòa', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ai-hoa', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}, {'id': '83a5420a', 'name': 'Minh Trung', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/minh-trung', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}]",3.2611,Kent M. Keith Ph. D.,"['https://thuviensachpdf.com/10-nghich-ly-cuoc-song', 'thuviensach']",https://sachnoiviet.net/sach-noi/10-nghich-ly-cuoc-song,,https://cloud.thuviensachpdf.com/pdf/vi/10-nghich-ly-cuoc-song.pdf,['https://archive.org/download/truyenngan_201903/10-nghich-ly-cuoc-song.mp3'],,,,,,
2b309f13,7-chien-luoc-thinh-vuong-va-hanh-phuc,,,"{'id': 'e29f91b7', 'name': 'Quang Tâm', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/quang-tam', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",3.3225,Jim Rohn,"['https://thuviensachpdf.com/7-chien-luoc-thinh-vuong-va-hanh-phuc', 'thuviensach']",https://sachnoiviet.net/sach-noi/7-chien-luoc-thinh-vuong-va-hanh-phuc,,https://cloud.thuviensachpdf.com/pdf/vi/7-chien-luoc-thinh-vuong-va-hanh-phuc.pdf,"['https://archive.org/download/7-chien-luoc-thinh-vuong-hanh-phuc/1.mp3', 'https://archive.org/download/7-chien-luoc-thinh-vuong-hanh-phuc/2.mp3', 'https://archive.org/download/7-chien-luoc-thinh-vuong-hanh-phuc/3.mp3', 'https://archive.org/download/7-chien-luoc-thinh-vuong-hanh-phuc/4.mp3']",,,,,,
6d9da06f,cho-toi-xin-mot-ve-di-tuoi-tho,,,"{'id': 'd532df02', 'name': 'Phan Phương Thảo', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/phan-phuong-thao', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.4858,Nguyễn Nhật Ánh,"['https://thuviensachpdf.com/cho-toi-xin-mot-ve-di-tuoi-tho', 'thuviensach']",https://sachnoiviet.net/sach-noi/cho-toi-xin-mot-ve-di-tuoi-tho,,https://cloud.thuviensachpdf.com/pdf/vi/cho-toi-xin-mot-ve-di-tuoi-tho.pdf,"['https://archive.org/download/cho-toi-1/cho-toi-1.mp3', 'https://archive.org/download/cho-toi-1/cho-toi-2.mp3', 'https://archive.org/download/cho-toi-1/cho-toi-3.mp3']",,,,,,
77ab5cfe,42-nam-lam-an-tai-my-va-trung-quoc,,,"{'id': '959aa6ff', 'name': 'Nhã Trâm', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/nha-tram', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",4.8392,Alan Phan,"['https://thuviensachpdf.com/42-nam-lam-an-tai-my-va-trung-quoc', 'thuviensach']",https://sachnoiviet.net/sach-noi/42-nam-lam-an-tai-my-va-trung-quoc,,https://cloud.thuviensachpdf.com/pdf/vi/42-nam-lam-an-tai-my-va-trung-quoc.pdf,"['https://archive.org/download/42nam-lam-an-tai-my-va-trung-quoc/01.42NamMyVaTrungQuocChuongMoDau.mp3', 'https://archive.org/download/42nam-lam-an-tai-my-va-trung-quoc/02.42NamMyVaTrungQuocChuong01_Chuan.mp3', 'https://archive.org/download/42nam-lam-an-tai-my-va-trung-quoc/03.42NamMyVaTrungQuocChuong0203.mp3', 'https://archive.org/download/42nam-lam-an-tai-my-va-trung-quoc/04.42NamMyVaTrungQuocChuong0405_Chuan.mp3', 'https://archive.org/download/42nam-lam-an-tai-my-va-trung-quoc/05.42NamMyVaTrungQuocChuong0607_Chuan.mp3', 'https://archive.org/download/42nam-lam-an-tai-my-va-trung-quoc/06.42NamMyVaTrungQuocChuong0809Het.mp3']",,,,,,
616d058e,luoc-truyen-duc-phat-thich-ca,,,"{'id': 'e8fd36f8', 'name': 'Chiếu Thành', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/chieu-thanh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.49,Jonathan Landaw,"['https://thuviensachpdf.com/luoc-truyen-duc-phat-thich-ca', 'thuviensach']",https://sachnoiviet.net/sach-noi/luoc-truyen-duc-phat-thich-ca,,https://cloud.thuviensachpdf.com/pdf/vi/luoc-truyen-duc-phat-thich-ca.pdf,"['https://archive.org/download/luoc-truyen-1/luoc-truyen-1.mp3', 'https://archive.org/download/luoc-truyen-1/luoc-truyen-2.mp3']",,,,,,
aaf8b6fa,mio-con-trai-ta,,,"{'id': '857bea94', 'name': 'Ngọc Hiếu', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ngoc-hieu', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",3.6497,Astrid Lindgren,"['https://thuviensachpdf.com/mio-con-trai-ta', 'thuviensach']",https://sachnoiviet.net/sach-noi/mio-con-trai-ta,,https://cloud.thuviensachpdf.com/pdf/vi/mio-con-trai-ta.pdf,"['https://archive.org/download/mio-2/Mio-1.mp3', 'https://archive.org/download/mio-2/Mio-2.mp3', 'https://archive.org/download/mio-2/Mio-3.mp3', 'https://archive.org/download/mio-2/Mio-4.mp3', 'https://archive.org/download/mio-2/Mio-5.mp3']",,,,,,
