id,name,text_path,audio_path,narrator,duration,author,text_url,audio_url,alignment_path,text_download_url,audio_download_url,sample_rate,quality,word_count,num_sentences,audio_size,text_size
a00985dd,10-bai-hoc-tren-chiec-khan-an,../data/text/pdf/10-bai-hoc-tren-chiec-khan-an.pdf,../data/audio/raw/10-bai-hoc-tren-chiec-khan-an,"{'id': '5af6cbeb', 'name': 'Trần Huỳnh Phương Trang', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/tran-huy-phuong-trang', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.5039,Don Failla,"['https://thuviensachpdf.com/10-bai-hoc-tren-chiec-khan-an', 'thuviensach']",https://sachnoiviet.net/sach-noi/10-bai-hoc-tren-chiec-khan-an,,https://cloud.thuviensachpdf.com/pdf/vi/10-bai-hoc-tren-chiec-khan-an.pdf,"['https://archive.org/download/10-bai-hoc-tren-chiec-khan-an.sna/Sach-Noi-Audio-Book-10-Bai-Hoc-Tu-Chiec-Khan-An-01-www.phatphapungdung.com.mp3', 'https://archive.org/download/10-bai-hoc-tren-chiec-khan-an.sna/Sach-Noi-Audio-Book-10-Bai-Hoc-Tu-Chiec-Khan-An-02-www.phatphapungdung.com.mp3', 'https://archive.org/download/10-bai-hoc-tren-chiec-khan-an.sna/Sach-Noi-Audio-Book-10-Bai-Hoc-Tu-Chiec-Khan-An-03-www.phatphapungdung.com.mp3', 'https://archive.org/download/10-bai-hoc-tren-chiec-khan-an.sna/Sach-Noi-Audio-Book-10-Bai-Hoc-Tu-Chiec-Khan-An-04-www.phatphapungdung.com.mp3']",,,,,144734808,347556
2c0c221e,10-bi-quyet-thanh-cong-cua-nhung-dien-gia-mc-tai-nang-nhat-the-gioi,../data/text/pdf/10-bi-quyet-thanh-cong-cua-nhung-dien-gia-mc-tai-nang-nhat-the-gioi.pdf,../data/audio/raw/10-bi-quyet-thanh-cong-cua-nhung-dien-gia-mc-tai-nang-nhat-the-gioi,"[{'id': '047c61b1', 'name': 'Ái Hòa', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ai-hoa', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}, {'id': '94948153', 'name': 'Kim Xuân', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/kim-xuan', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}, {'id': '6f83e4c2', 'name': 'Xuân Khoa', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/xuan-khoa', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}]",4.2244,Carmine Gallo,"['https://thuviensachpdf.com/10-bi-quyet-thanh-cong-cua-nhung-dien-gia-mc-tai-nang-nhat-the-gioi', 'thuviensach']",https://sachnoiviet.net/sach-noi/10-bi-quyet-thanh-cong-cua-nhung-dien-gia-mc-tai-nang-nhat-the-gioi,,https://cloud.thuviensachpdf.com/pdf/vi/10-bi-quyet-thanh-cong-cua-nhung-dien-gia-mc-tai-nang-nhat-the-gioi.pdf,"['https://archive.org/download/10-bi-02/10-bi-01.mp4', 'https://archive.org/download/10-bi-02/10-bi-02.mp4', 'https://archive.org/download/10-bi-02/10-bi-03.mp4', 'https://archive.org/download/10-bi-02/10-bi-04.mp4', 'https://archive.org/download/10-bi-02/10-bi-05.mp4', 'https://archive.org/download/10-bi-02/10-bi-06.mp4', 'https://archive.org/download/10-bi-02/10-bi-07.mp4', 'https://archive.org/download/10-bi-02/10-bi-08.mp4', 'https://archive.org/download/10-bi-02/10-bi-09.mp4', 'https://archive.org/download/10-bi-02/10-bi-10.mp4', 'https://archive.org/download/10-bi-02/10-bi-11.mp4', 'https://archive.org/download/10-bi-02/10-bi-12.mp4']",,,,,121662956,1017767
a0c7d3cd,10-dieu-khac-biet-nhat-giua-ke-giau-va-nguoi-ngheo,../data/text/pdf/10-dieu-khac-biet-nhat-giua-ke-giau-va-nguoi-ngheo.pdf,../data/audio/raw/10-dieu-khac-biet-nhat-giua-ke-giau-va-nguoi-ngheo,"{'id': '134c54b3', 'name': 'Trần Huỳnh Phương Trang', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/tran-huy-phuong-trang', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.0014,Keith Cameron Smith,"['https://thuviensachpdf.com/10-dieu-khac-biet-nhat-giua-ke-giau-va-nguoi-ngheo', 'thuviensach']",https://sachnoiviet.net/sach-noi/10-dieu-khac-biet-nhat-giua-ke-giau-va-nguoi-ngheo,,https://cloud.thuviensachpdf.com/pdf/vi/10-dieu-khac-biet-nhat-giua-ke-giau-va-nguoi-ngheo.pdf,['https://archive.org/download/truyenngan_201903/10-dieu-khac-biet-nhat-giua-ke-giau-va-nguoi-ngheo.mp3'],,,,,57600157,2764042
33797050,10-dieu-tao-nen-so-phan,../data/text/pdf/10-dieu-tao-nen-so-phan.pdf,../data/audio/raw/10-dieu-tao-nen-so-phan,"[{'id': '97bdf585', 'name': 'Ái Hòa', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ai-hoa', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}, {'id': 'd408b49d', 'name': 'Minh Trung', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/minh-trung', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}]",3.7058,Maria Shriver,"['https://thuviensachpdf.com/10-dieu-tao-nen-so-phan', 'thuviensach']",https://sachnoiviet.net/sach-noi/10-dieu-tao-nen-so-phan,,https://cloud.thuviensachpdf.com/pdf/vi/10-dieu-tao-nen-so-phan.pdf,"['https://archive.org/download/audiobook-10dieutaonensophan/ch01.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch02.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch03.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch04.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch05.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch06.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch07.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch08.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch09.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch11.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch12.mp3', 'https://archive.org/download/audiobook-10dieutaonensophan/ch13.mp3']",,,,,98223048,464391
7685d9c3,10-nghich-ly-cuoc-song,../data/text/pdf/10-nghich-ly-cuoc-song.pdf,../data/audio/raw/10-nghich-ly-cuoc-song,"[{'id': '2b4c5c3b', 'name': 'Ái Hòa', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ai-hoa', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}, {'id': '83a5420a', 'name': 'Minh Trung', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/minh-trung', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}]",3.2611,Kent M. Keith Ph. D.,"['https://thuviensachpdf.com/10-nghich-ly-cuoc-song', 'thuviensach']",https://sachnoiviet.net/sach-noi/10-nghich-ly-cuoc-song,,https://cloud.thuviensachpdf.com/pdf/vi/10-nghich-ly-cuoc-song.pdf,['https://archive.org/download/truyenngan_201903/10-nghich-ly-cuoc-song.mp3'],,,,,89579482,308308
97c03f2e,10-quy-luat-cuoc-song,../data/text/pdf/10-quy-luat-cuoc-song.pdf,../data/audio/raw/10-quy-luat-cuoc-song,"{'id': '6fedc83f', 'name': 'Lê Trang', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/le-trang', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.4194,Dan Sullivan,"['https://thuviensachpdf.com/10-quy-luat-cuoc-song', 'thuviensach']",https://sachnoiviet.net/sach-noi/10-quy-luat-cuoc-song,,https://cloud.thuviensachpdf.com/pdf/vi/10-quy-luat-cuoc-song.pdf,"['https://archive.org/download/10-quy-07/10-quy-01.mp4', 'https://archive.org/download/10-quy-07/10-quy-02.mp4', 'https://archive.org/download/10-quy-07/10-quy-03.mp4', 'https://archive.org/download/10-quy-07/10-quy-04.mp4', 'https://archive.org/download/10-quy-07/10-quy-05.mp4', 'https://archive.org/download/10-quy-07/10-quy-06.mp4', 'https://archive.org/download/10-quy-07/10-quy-07.mp4', 'https://archive.org/download/10-quy-07/10-quy-08.mp4', 'https://archive.org/download/10-quy-07/10-quy-09.mp4', 'https://archive.org/download/10-quy-07/10-quy-10.mp4', 'https://archive.org/download/10-quy-07/10-quy-11.mp4', 'https://archive.org/download/10-quy-07/10-quy-12.mp4', 'https://archive.org/download/10-quy-07/10-quy-13.mp4']",,,,,70404707,784216
9beeb483,100-y-tuong-ban-hang-hay-nhat-moi-thoi-dai,../data/text/pdf/100-y-tuong-ban-hang-hay-nhat-moi-thoi-dai.pdf,../data/audio/raw/100-y-tuong-ban-hang-hay-nhat-moi-thoi-dai,"{'id': '5286f13d', 'name': 'Bà Già Đọc Sách', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ba-gia-doc-sach', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",4.1975,Ken Langdon,"['https://thuviensachpdf.com/100-y-tuong-ban-hang-hay-nhat-moi-thoi-dai', 'thuviensach']",https://sachnoiviet.net/sach-noi/100-y-tuong-ban-hang-hay-nhat-moi-thoi-dai,,https://cloud.thuviensachpdf.com/pdf/vi/100-y-tuong-ban-hang-hay-nhat-moi-thoi-dai.pdf,"['https://archive.org/download/100-y-1/100-y-1.mp3', 'https://archive.org/download/100-y-1/100-y-2.mp3', 'https://archive.org/download/100-y-1/100-y-3.mp3', 'https://archive.org/download/100-y-1/100-y-4.mp3']",,,,,241784365,1121551
cc0bba8b,22-quy-luat-bat-bien-trong-marketing,../data/text/pdf/22-quy-luat-bat-bien-trong-marketing.pdf,../data/audio/raw/22-quy-luat-bat-bien-trong-marketing,"{'id': 'dd0dde87', 'name': 'Dong Do Studio', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/dong-do-studio', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.3483,Al Ries,"['https://thuviensachpdf.com/22-quy-luat-bat-bien-trong-marketing', 'thuviensach']",https://sachnoiviet.net/sach-noi/22-quy-luat-bat-bien-trong-marketing,,https://cloud.thuviensachpdf.com/pdf/vi/22-quy-luat-bat-bien-trong-marketing.pdf,"['https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P1.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P2.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P3.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P4.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P5.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P6end.mp3']",,,,,46130014,444483
5ffcae9b,22-quy-luat-bat-bien-trong-xay-dung-thuong-hieu,../data/text/pdf/22-quy-luat-bat-bien-trong-xay-dung-thuong-hieu.pdf,../data/audio/raw/22-quy-luat-bat-bien-trong-xay-dung-thuong-hieu,"{'id': 'ef3bce46', 'name': 'Dong Do Studio', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/dong-do-studio', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.53,Al Ries,"['https://thuviensachpdf.com/22-quy-luat-bat-bien-trong-xay-dung-thuong-hieu', 'thuviensach']",https://sachnoiviet.net/sach-noi/22-quy-luat-bat-bien-trong-xay-dung-thuong-hieu,,https://cloud.thuviensachpdf.com/pdf/vi/22-quy-luat-bat-bien-trong-xay-dung-thuong-hieu.pdf,"['https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P1.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P2.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P3.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P4.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P5.mp3', 'https://archive.org/download/22-quy-luat-bat-bien-trong-marketing.sna/Quy-Luat-Bat-Bien-Trong-Kinh-Doanh-P6end.mp3']",,,,,46130014,3352921
5bf2e7a2,23-van-de-ho-khong-noi-voi-ban-ve-chu-nghia-tu-ban,../data/text/pdf/23-van-de-ho-khong-noi-voi-ban-ve-chu-nghia-tu-ban.pdf,../data/audio/raw/23-van-de-ho-khong-noi-voi-ban-ve-chu-nghia-tu-ban,"{'id': '8ca510ae', 'name': 'Unknown', 'dialect': None, 'gender': None, 'age': None, 'url': 'Unknown', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",1.2556,Ha Joon Chang,"['https://thuviensachpdf.com/23-van-de-ho-khong-noi-voi-ban-ve-chu-nghia-tu-ban', 'thuviensach']",https://sachnoiviet.net/sach-noi/23-van-de-ho-khong-noi-voi-ban-ve-chu-nghia-tu-ban,,https://cloud.thuviensachpdf.com/pdf/vi/23-van-de-ho-khong-noi-voi-ban-ve-chu-nghia-tu-ban.pdf,"['https://archive.org/download/23-van-de-ho-khong-noi-voi-ban-ve-chu-nghia-tu-ban.sna/01.MoiDau_ChuNghiaTuBan.mp3', 'https://archive.org/download/23-van-de-ho-khong-noi-voi-ban-ve-chu-nghia-tu-ban.sna/02.C01_KhongCoThiTruongTuDo_ChuNghiaTuBan.mp3', 'https://archive.org/download/23-van-de-ho-khong-noi-voi-ban-ve-chu-nghia-tu-ban.sna/03.C02_LoiIchCuaChuSoHuu_ChuNghiaTuBan.mp3']",,,,,72857469,1882125
