id,name,text_path,audio_path,narrator,duration,author,text_url,audio_url,alignment_path,text_download_url,audio_download_url,sample_rate,quality,word_count,num_sentences,audio_size,text_size
9600eefb,chut-phan-linh-đinh,,,"[{'id': '96ec76e2', 'name': 'Quốc Thịnh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/quoc-thinh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}, {'id': '421426d1', 'name': 'Thanh Trúc', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thanh-truc', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}, {'id': '91b83577', 'name': 'Trần Ngọc San', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/tran-ngoc-san', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}]",4.5728,Hồ Biểu Chánh,"['https://thuviensachpdf.com/chut-phan-linh-dinh', 'thuviensach']",https://sachnoiviet.net/sach-noi/chut-phan-linh-dinh,,https://cloud.thuviensachpdf.com/pdf/vi/chut-phan-linh-dinh.pdf,"['https://archive.org/download/chut-phan-1/chut-phan-1.mp3', 'https://archive.org/download/chut-phan-1/chut-phan-2.mp3', 'https://archive.org/download/chut-phan-1/chut-phan-3.mp3', 'https://archive.org/download/chut-phan-1/chut-phan-4.mp3', 'https://archive.org/download/chut-phan-1/chut-phan-5.mp3']",,,,,,
35116471,ivanhoe,,,"{'id': '4fa20657', 'name': 'Ngô Hồng', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ngo-hong', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",20.0233,Sir Walter Scott,"['https://thuviensachpdf.com/ivanhoe', 'thuviensach']",https://sachnoiviet.net/sach-noi/ivanhoe,,https://cloud.thuviensachpdf.com/pdf/vi/ivanhoe.pdf,"['https://archive.org/download/ivanhoe_202201/Ivanhoe.mp3', 'https://archive.org/download/IVH_TV/02.IVH.mp3', 'https://archive.org/download/IVH_TV/03.IVH.mp3', 'https://archive.org/download/IVH_TV/04.IVH.mp3', 'https://archive.org/download/IVH_TV/05.IVH.mp3']",,,,,,
17ae223a,ai-vao-đia-nguc,,,"{'id': '78a1a748', 'name': 'Thanh Cúc', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thanh-cuc', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",3.1058,Nguyên Minh,"['https://thuviensachpdf.com/ai-vao-dia-nguc', 'thuviensach']",https://sachnoiviet.net/sach-noi/ai-vao-dia-nguc,,https://cloud.thuviensachpdf.com/pdf/vi/ai-vao-dia-nguc.pdf,"['https://archive.org/download/ai-vao-1/ai-vao-1.mp3', 'https://archive.org/download/ai-vao-1/ai-vao-2.mp3', 'https://archive.org/download/ai-vao-1/ai-vao-3.mp3']",,,,,,
71bfbba6,unknown,,,"{'id': '8068a8b5', 'name': 'Tịnh Khẩu', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/tinh-khau', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.2392,Unknown,"['https://thuviensachpdf.com/nhung-bong-hong-dau-ha', 'invalid']",https://sachnoiviet.net/sach-noi/nhung-bong-hong-dau-ha,,,,,,,,,
3ce51220,unknown,,,"{'id': '60b7bfba', 'name': 'Thủy Tiên', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thuy-tien', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",4.6847,Unknown,"['https://thuviensachpdf.com/vua-ham-nghi-mot-tam-hon-viet-o-chon-luu-day', 'invalid']",https://sachnoiviet.net/sach-noi/vua-ham-nghi-mot-tam-hon-viet-o-chon-luu-day,,,,,,,,,
78c44649,hang-đong-cua-cac-lat-ma,,,"{'id': '8d5e3e41', 'name': 'Hướng Dương', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/huong-duong', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",9.9728,Lobsang Rampa,"['https://thuviensachpdf.com/hang-dong-cua-cac-lat-ma', 'invalid']",https://sachnoiviet.net/sach-noi/hang-dong-cua-cac-lat-ma,,,,,,,,,
327356b2,unknown,,,"{'id': '67d91564', 'name': 'Trung Can', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/trung-can', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",7.6725,Unknown,"['https://thuviensachpdf.com/theo-chan-nguoi-tinh-mot-manh-tinh-rieng', 'invalid']",https://sachnoiviet.net/sach-noi/theo-chan-nguoi-tinh-mot-manh-tinh-rieng,,,,,,,,,
4ef4f59b,unknown,,,"{'id': 'fe96cee3', 'name': 'Hà Mai', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/ha-mai', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",6.3311,Unknown,"['https://thuviensachpdf.com/binh-an-qua-thung-lung-chet', 'invalid']",https://sachnoiviet.net/sach-noi/binh-an-qua-thung-lung-chet,,,,,,,,,
a197bff9,unknown,,,"{'id': 'f9645ea9', 'name': 'Mẹ Su', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/me-su', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",2.1292,Unknown,"['https://thuviensachpdf.com/90-tre-thong-minh-nho-cach-tro-chuyen-dung-dan-cua-cha-me', 'invalid']",https://sachnoiviet.net/sach-noi/90-tre-thong-minh-nho-cach-tro-chuyen-dung-dan-cua-cha-me,,,,,,,,,
58d4e8cc,unknown,,,"{'id': '35529056', 'name': 'Trái Táo', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/trai-tao', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",10.0417,Unknown,"['https://thuviensachpdf.com/ba-le-mat-biec-moi-hong', 'invalid']",https://sachnoiviet.net/sach-noi/ba-le-mat-biec-moi-hong,,,,,,,,,
301cc24d,loan-mat-nhung,,,"{'id': '6d888de2', 'name': 'Hồng Nhung', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/hong-nhung', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",18.0425,Nguyễn Thụy Long,"['https://thuviensachpdf.com/loan-mat-nhung', 'thuviensach']",https://sachnoiviet.net/sach-noi/loan-mat-nhung,,https://cloud.thuviensachpdf.com/pdf/vi/loan-mat-nhung.pdf,"['https://archive.org/download/7_20190903/1.mp3', 'https://archive.org/download/7_20190903/2.mp3', 'https://archive.org/download/7_20190903/3.mp3', 'https://archive.org/download/7_20190903/4.mp3', 'https://archive.org/download/7_20190903/5.mp3', 'https://archive.org/download/7_20190903/6.mp3', 'https://archive.org/download/7_20190903/7.mp3', 'https://archive.org/download/7_20190903/8.mp3', 'https://archive.org/download/7_20190903/9.mp3', 'https://archive.org/download/7_20190903/10.mp3', 'https://archive.org/download/7_20190903/11.mp3', 'https://archive.org/download/7_20190903/12.mp3', 'https://archive.org/download/7_20190903/13.mp3', 'https://archive.org/download/7_20190903/14.mp3', 'https://archive.org/download/7_20190903/15.mp3', 'https://archive.org/download/7_20190903/16.mp3', 'https://archive.org/download/7_20190903/17.mp3', 'https://archive.org/download/7_20190903/18.mp3', 'https://archive.org/download/7_20190903/19.mp3']",,,,,,
9e4ded5a,con-mua-đinh-menh,,,"{'id': '8ee20572', 'name': 'Thanh Mai', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/thanh-mai', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",15.1964,Thanhthanh,"['https://thuviensachpdf.com/con-mua-dinh-menh', 'thuviensach']",https://sachnoiviet.net/sach-noi/con-mua-dinh-menh,,https://cloud.thuviensachpdf.com/pdf/vi/con-mua-dinh-menh.pdf,"['https://archive.org/download/con-mua-dinh-menh/1.mp3', 'https://archive.org/download/con-mua-dinh-menh/2.mp3', 'https://archive.org/download/con-mua-dinh-menh/3.mp3', 'https://archive.org/download/con-mua-dinh-menh/4.mp3', 'https://archive.org/download/con-mua-dinh-menh/5.mp3', 'https://archive.org/download/con-mua-dinh-menh/6.mp3', 'https://archive.org/download/con-mua-dinh-menh/7.mp3', 'https://archive.org/download/con-mua-dinh-menh/8.mp3', 'https://archive.org/download/con-mua-dinh-menh/9.mp3', 'https://archive.org/download/con-mua-dinh-menh/10.mp3', 'https://archive.org/download/con-mua-dinh-menh/11.mp3', 'https://archive.org/download/con-mua-dinh-menh/12.mp3', 'https://archive.org/download/con-mua-dinh-menh/13.mp3', 'https://archive.org/download/con-mua-dinh-menh/14.mp3']",,,,,,
9f853af1,dich-hoc-tinh-hoa,,,"{'id': '198edd60', 'name': 'Lê Như Quỳnh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/le-nhu-quynh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.7903,Nguyễn Duy Cần,"['https://thuviensachpdf.com/dich-hoc-tinh-hoa', 'thuviensach']",https://sachnoiviet.net/sach-noi/dich-hoc-tinh-hoa,,https://cloud.thuviensachpdf.com/pdf/vi/dich-hoc-tinh-hoa.pdf,"['https://archive.org/download/dich-hoc-5/dich-hoc-1.mp3', 'https://archive.org/download/dich-hoc-5/dich-hoc-2.mp3', 'https://archive.org/download/dich-hoc-5/dich-hoc-3.mp3', 'https://archive.org/download/dich-hoc-5/dich-hoc-4.mp3', 'https://archive.org/download/dich-hoc-5/dich-hoc-5.mp3', 'https://archive.org/download/dich-hoc-5/dich-hoc-6.mp3', 'https://archive.org/download/dich-hoc-5/dich-hoc-7.mp3', 'https://archive.org/download/dich-hoc-5/dich-hoc-8.mp3']",,,,,,
10f10355,unknown,,,"{'id': '9960c74a', 'name': 'Yến Linh', 'dialect': None, 'gender': None, 'age': None, 'url': 'https://sachnoiviet.net/giong-doc/yen-linh', 'tone': None, 'volume': None, 'speed': None, 'pitch': None}",5.1533,Unknown,"['https://thuviensachpdf.com/mot-mua-thu-truoc-hoang-hon', 'invalid']",https://sachnoiviet.net/sach-noi/mot-mua-thu-truoc-hoang-hon,,,,,,,,,
